gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Gm37758,-1.7623379872097,-0.399647923569068,-1.40827194969415,-0.736858242881688,0.0044499053295476,0.651846557404422,0.0276800633550918,0.319287971379087,D1,down,other
Susd5,0.515575081220149,-0.215793833021023,-5.13285331068899,-3.44925925997783,0.932571175993945,0.962057073379576,0.042320770008115,0.18803256413084,D7,down,other
Trim25,0.655351122585703,1.46263030503872,0.955454562976372,1.1372563608477,0.0568201367792232,2.9811132191913e-07,0.0025093498615493,0.0002316327592678,D4,up,subacute_D4
Gm45540,-1.62215404094292,-2.89894620267637,-5.49460838576884,-2.21762613425905,0.297033160387399,0.031624388691982,8.63887037336698e-05,0.109168307727672,D7,down,other
Eif2ak1,-0.0500699459132379,-0.213487104603411,0.221261819864389,1.28586844720034,0.983745205358452,0.810899330075592,0.739834900364451,0.0242315413398456,D14,up,late_D14
Ociad2,-1.38273003848542,-2.70329895253746,-1.67792048181917,-1.36718232319625,0.420875057931502,0.0416766474240902,0.21512656991068,0.388954948077322,D4,down,other
Gm36962,-0.441526731691794,1.6461009005444,-6.12852377790473,0.0353919472840995,0.94853389522569,1.0,0.0323304091913425,1.0,D7,down,other
C630004M23Rik,0.963845383353784,-0.683764720570142,-0.942585100176739,5.04882040033346,0.698282419501711,0.750118741671296,0.568771338988181,0.0054502322899994,D14,up,late_D14
Slpi,9.38832866428455,8.34814387555733,4.91228706812576,0.0453314449433445,1.39856386214782e-07,1.2533280513558e-06,0.0008378211083754,1.0,D1,up,D7_peak_resolve
Gm12592,0.386543964760041,-1.9463187267225,-5.06638931674822,-1.45940815748546,0.935555525427442,0.413652950073037,0.0207465724537976,0.57493773245456,D7,down,other
Scamp2,-1.37724780517693,-0.581000744431552,-0.703594783840204,-0.555856984933256,0.0198413039933633,0.418876589250834,0.245021688329204,0.441130061123974,D1,down,acute_D1
Gm43824,-0.164413135229805,-0.410943011299525,-5.75487018412658,-5.74266520226635,0.991601083741801,0.930770960795918,0.0383205902009408,0.0427617645470359,D7,down,late_D14
Uckl1os,-1.24706334737437,-0.294187104746415,-3.32101555308853,-2.69475461277058,0.495493043612502,0.90620754565652,0.0347893906243161,0.0699083422986299,D7,down,other
Frmd4b,-1.73415037494694,-0.925087624205192,-0.636936229945654,-0.664087069231505,0.0143362320744416,0.247416856228001,0.399968043596194,0.449037119537372,D1,down,acute_D1
Slc25a5-ps,1.43187476823134,1.80530767537637,-1.13851041588755,-4.15713018697786,0.457714100306771,1.0,0.521235530938508,0.0359338270356089,D14,down,late_D14
Ucp2,0.783115684778038,2.23786028534704,1.67623906834599,0.978230912834602,0.378406417502354,0.0006234258942907,0.0168235337167834,0.213799206707444,D4,up,D7_peak_resolve
Tbx18,3.75918237193694,0.349127546592983,0.254723077655418,-6.99496787919507,0.124642331326196,0.938019296662615,0.929377585343583,0.0024611191050766,D14,down,late_D14
Gm47324,0.121641057415181,-1.49047464411844,-6.03381153887999,-0.0656885400165082,0.994300460965076,0.608149526475026,0.0126075955571184,0.99999704183151,D7,down,other
Tsta3,1.26023721313353,1.18499444285386,0.617632151689676,0.183690630351017,0.0004285915408777,0.0009504840710015,0.114232739073104,0.757442278318143,D1,up,acute_D1
Rab11fip2,-0.708715272074044,-1.31948995702066,-0.762862841160357,-1.4982257328948,0.361691189869328,0.0336161704159321,0.241691226409412,0.0138665408613863,D14,down,other
Nwd2,-0.561930043962569,-3.8806557599459,-7.96579207132914,-3.09346426094369,0.879657269311943,0.0232404217877883,7.83580639437093e-05,0.097600851412811,D7,down,other
Atxn7,-0.3453308450266,-0.635479310467746,-0.538283577554006,-1.52976235469435,0.45138007455249,0.0824669877260414,0.132209482142385,5.43035632114854e-07,D14,down,late_D14
Prxl2a,-0.691590661897587,-3.07040708053029,-0.80705630486147,0.637773738240341,0.677036332916169,0.0018730582935193,0.476519586384152,0.66904081582564,D4,down,other
