gene,TBI_mean,Sham_mean,log2FC
Rgs17,0.13829967,0.04583233,1.4093429
Tab2,0.37821358,0.41847605,-0.14236397
Sf3b5,0.1400604,0.10389845,0.39779526
Aig1,0.10175378,0.114518695,-0.15603872
Map7,0.251472,0.1376391,0.82458144
Sgk1,1.4282018,1.2108786,0.23634636
Lama2,0.05062541,0.037773833,0.34370202
Ptprk,0.064890444,0.03520948,0.72815627
Rnf146,0.035639375,0.03987872,-0.12814532
Tspyl1,0.0774751,0.08500063,-0.119064584
Cdk19,0.15434155,0.17201294,-0.14734372
Wasf1,0.08417193,0.05822217,0.4650563
Cdc40,0.12271265,0.1060114,0.1940393
Lace1,0.17352852,0.100685455,0.72953874
Prdm1,0.029046535,0.04925462,-0.601733
Grik2,0.048256863,0.05153983,-0.07909239
Dcbld1,0.01370363,0.011935006,0.11187304
Cep85l,0.111578785,0.08710348,0.32429662
Fam184a,0.015165875,0.012174509,0.18256667
Pkib,0.089815445,0.07641848,0.2079232
Ranbp2,0.14345212,0.11637125,0.2801204
Sept10,0.05668751,0.03722446,0.49788213
Micu1,0.07214712,0.07236509,-0.0038229036
Dnajb12,0.079064235,0.09194482,-0.19487038
Psap,1.1122661,0.9320172,0.2525895
Tspan15,0.008409442,0.006554528,0.15322018
Ddx21,0.35039547,0.19085635,0.8434167
Hnrnph3,0.14589565,0.1514703,-0.050688267
Herc4,0.08651024,0.09752927,-0.15597548
Reep3,0.3740676,0.37310082,0.0036361148
Arid5b,0.16030031,0.17790672,-0.1419356
Ank3,0.08665114,0.07579045,0.17196962
Fam13c,0.028829392,0.016035223,0.5766845
Ube2d1,0.07965262,0.07911777,0.008632759
Mif,0.32699224,0.17185716,0.8899095
Smarcb1,0.08416251,0.0661465,0.30637506
Dip2a,0.022882927,0.020025585,0.13114654
Rrp1,0.3734077,0.3279964,0.1818714
Mier2,0.022613673,0.025988005,-0.14203912
Tpgs1,0.09592922,0.068478756,0.43272653
Polrmt,0.024964008,0.021332657,0.15820348
Polr2e,0.19033578,0.13315962,0.4847955
Dazap1,0.12978445,0.09791365,0.37332654
Plk5,0.0017624052,0.0018278749,-0.008007853
Csnk1g2,0.08115729,0.07704263,0.06663582
Btbd2,0.030640777,0.035900384,-0.17557813
Hmg20b,0.19061437,0.14711508,0.35260332
Tdg,0.029901577,0.02259539,0.29177788
Tcp11l2,0.047447447,0.061941657,-0.32458463
Cry1,0.01840967,0.027569896,-0.40319502
Fbxo7,0.052627888,0.050013773,0.061511613
Ano4,0.033429127,0.02760883,0.20759155
Anks1b,0.26781118,0.18002442,0.5479198
Cdk17,0.06955102,0.07137332,-0.032675397
Metap2,0.2821384,0.22338189,0.32395935
Nr2c1,0.025169324,0.026992364,-0.07290983
Tmcc3,0.55598676,0.7724795,-0.46728462
Btg1,0.7368381,0.6935486,0.08614545
Ppp1r12a,0.2621455,0.29357463,-0.15767315
Nav3,0.8987842,0.9448604,-0.07135206
Gm5428,0.7526975,0.54302555,0.46376497
Atxn7l3b,0.25510997,0.27315378,-0.094994925
Tbc1d15,0.08943505,0.091826685,-0.03428933
Cct2,0.2294905,0.14803754,0.59970117
Usp15,0.12849204,0.11326716,0.16801466
Cdk4,0.15226193,0.104732715,0.50004774
Ptges3,0.24681088,0.20540768,0.2536366
Atp5b,0.5183088,0.32875776,0.6411275
Nabp2,0.07336609,0.063276835,0.18610351
Rnf41,0.059273794,0.05623445,0.06472797
Rpl41,1.0143272,0.6273418,0.6845374
Rps26,1.1751883,0.9054084,0.3726289
Cd63,0.95439476,0.5641775,0.748127
8430429K09Rik,0.056137223,0.019040013,1.1874205
Mtmr3,0.09845775,0.1067992,-0.106897175
Uqcr10,0.26520893,0.1729998,0.58868515
Mrps24,0.14634344,0.096007146,0.5605572
Dbnl,0.21075016,0.18179548,0.20284572
Purb,0.2833587,0.3174278,-0.15851119
Ppia,0.4367001,0.24847053,0.78930676
Gm11973,0.020332986,0.00445734,1.0690855
Ccm2,0.12820144,0.12062862,0.08130171
Cobl,0.010442134,0.02918869,-0.93889153
Sec61g,0.19750965,0.09627407,0.96538883
