gene,condition,mean_expr,frac_expressing,log2FC_vs_Intact,pval_vs_Intact,n_cells
Mfsd2a,Intact,1.1333432,0.7127249357326478,0.0,,1556
Mfsd2a,3dpi_CTRL,0.91778696,0.6411483253588517,-0.3040549447159274,0.0005980424305381182,209
Mfsd2a,5dpi_CTRL,0.9274502,0.7009194159004868,-0.28896082110856186,3.9193607894813473e-13,1849
Slc2a1,Intact,2.7355974,0.9280205655526992,0.0,,1556
Slc2a1,3dpi_CTRL,2.5357275,0.9138755980861244,-0.10941463936165687,7.75759846995803e-05,209
Slc2a1,5dpi_CTRL,2.578603,0.9572742022714981,-0.0852341217863576,5.108735616699028e-30,1849
Abcb1a,Intact,1.8574164,0.8746786632390745,0.0,,1556
Abcb1a,3dpi_CTRL,1.4437227,0.7799043062200957,-0.36328115062845745,1.9167639545219568e-10,209
Abcb1a,5dpi_CTRL,2.088463,0.9204975662520282,0.1690584747510166,5.847942733756632e-19,1849
Cldn5,Intact,3.9012792,0.967866323907455,0.0,,1556
Cldn5,3dpi_CTRL,4.333494,0.9808612440191388,0.1515466404713037,2.719261809417562e-20,209
Cldn5,5dpi_CTRL,4.1535387,0.9935100054083288,0.0903712897618787,3.6123232456551406e-20,1849
Ocln,Intact,0.983553,0.6953727506426736,0.0,,1556
Ocln,3dpi_CTRL,0.8512782,0.6267942583732058,-0.2081444527081012,0.026486685661109923,209
Ocln,5dpi_CTRL,0.98555464,0.7825851811790157,0.00293009031313266,0.6700791742654315,1849
Tjp1,Intact,1.131398,0.7107969151670951,0.0,,1556
Tjp1,3dpi_CTRL,0.7442498,0.5885167464114832,-0.6035850303886855,8.186542159155541e-11,209
Tjp1,5dpi_CTRL,1.39213,0.8080043266630611,0.298948848643644,1.8453169144005312e-20,1849
Pecam1,Intact,1.5637323,0.8438303341902313,0.0,,1556
Pecam1,3dpi_CTRL,1.3485816,0.7511961722488039,-0.21340366727884835,0.00050344797412258,209
Pecam1,5dpi_CTRL,1.6857816,0.9021092482422931,0.10835736187936833,0.0001290170816372149,1849
Flt1,Intact,3.2896864,0.9717223650385605,0.0,,1556
Flt1,3dpi_CTRL,2.479949,0.9090909090909091,-0.4074964862908075,8.223555837185062e-41,209
Flt1,5dpi_CTRL,3.1865156,0.9675500270416442,-0.04595617444039705,0.029551316967704116,1849
Kdr,Intact,1.1737332,0.7281491002570694,0.0,,1556
Kdr,3dpi_CTRL,0.87751,0.6124401913875598,-0.4192025460922895,5.621445608037717e-07,209
Kdr,5dpi_CTRL,1.4149125,0.8107084910762574,0.2693988966130838,6.857988622446222e-17,1849
Icam1,Intact,0.13804998,0.12917737789203085,0.0,,1556
Icam1,3dpi_CTRL,0.084950574,0.11483253588516747,-0.6940243104782162,0.4252866323733596,209
Icam1,5dpi_CTRL,0.17013451,0.2130881557598702,0.2995272675779739,8.192153614785227e-09,1849
Vcam1,Intact,0.14971963,0.11375321336760925,0.0,,1556
Vcam1,3dpi_CTRL,0.17896663,0.15311004784688995,0.25586210691058425,0.11812146913911342,209
Vcam1,5dpi_CTRL,0.24492759,0.22660897782585182,0.70636628039522,1.5865589946197603e-16,1849
Sele,Intact,0.00056440075,0.0012853470437017994,0.0,,1556
Sele,3dpi_CTRL,0.0073510516,0.023923444976076555,2.416347740731071,1.0443781684681222e-06,209
Sele,5dpi_CTRL,0.009464194,0.012439156300703082,2.7417791669882505,0.00014601418007949128,1849
Mmp9,Intact,0.0014903852,0.0006426735218508997,0.0,,1556
Mmp9,3dpi_CTRL,0.0,0.0,-1.316368882260021,0.7153042417858095,209
Mmp9,5dpi_CTRL,0.0012977924,0.002163331530557058,-0.11612040997856803,0.24896591378740407,1849
