Gene,功能描述,G1_Meh_TBI_vs_Sham,G2_Meh_DAM3_vs_TBImic,G3_226_3dpi_vs_Intact,G4_226_5dpi_vs_Intact,G5_226_Plin2high_vs_Other,G6_163_D1,G7_163_D4,G8_163_D7,G9_163_D14
Lamp1,溶酶体膜标志,↑1.13*,↑0.42*,↓0.12,↓0.11*,↑0.05,↓0.26,↑1.34*,↑1.62*,↑1.51*
Ctsd,溶酶体蛋白酶（Meh↓活性）,↑1.58*,↑0.74*,↓1.08*,↓0.43*,↓1.31*,↓0.61,↑2.11*,↑1.75*,↑1.76*
Ctsb,溶酶体蛋白酶（Meh↑转录）,↑2.47*,↑0.77*,↑0.42*,↑0.40*,↑0.52*,↑1.65*,↑2.73*,↑2.26*,↑2.24*
Naglu,糖苷水解酶（Meh↓活性）,↑1.16*,↑0.33*,↑0.07,↑0.16*,↑0.25*,↓0.61,↑1.26,↑1.14,↑0.22
Lgals3,溶酶体损伤标志（Meh↑）,↑5.45*,↑0.82*,↑6.51*,↑4.43*,↑6.26*,↑6.23*,↑6.96*,↑3.07*,↑5.92*
Lipa,溶酶体脂肪酶（Meh↑）,↑1.74*,↑0.64*,↑0.45*,↑0.46*,↑0.99*,↑0.25,↑2.22*,↑2.00*,↑1.75*
Npc2,溶酶体胆固醇转运（Meh↑）,↑1.16*,↑0.31*,↑0.82*,↑0.51*,↑1.10*,↑0.23,↑1.64*,↑1.41*,↑1.18*
Nceh1,CE水解酶（Meh↑）,↑2.99*,↑0.93*,↑1.31*,↑1.68*,↑1.50*,↑2.61*,↑2.02*,↑2.22*,↑1.97*
Anxa5,吞噬-溶酶体关联（Meh↑）,↑3.20*,↑0.89*,↑2.50*,↑1.39*,↑3.22*,↑2.87*,↑2.30*,↑2.24*,↑2.61*
Sqstm1,p62自噬受体（Meh↑蛋白）,↑0.98*,↑0.69*,↑0.28*,↑0.03,↑0.66*,↑1.81*,↑0.97*,↑0.68,↑0.88
Map1lc3b,LC3自噬体（Meh↑蛋白）,↑1.31*,↑0.50*,↑0.54*,↑0.25*,↑0.67*,↓0.22,↑0.15,↑0.54,↑0.60
