gene,3dpi_log2FC,5dpi_log2FC,intact_mean,3dpi_mean,5dpi_mean
Abca1,-0.14163812442218232,0.8788891223418207,0.45732847,0.41362825,0.8493978
Apoe,0.4207086893160699,0.7772206739871282,1.9455985,2.6077347,3.3415556
Axl,2.4373295909914203,2.259390172074948,0.024445057,0.1765676,0.15491916
Ccl2,0.8572863284003617,0.13967373553369733,0.46207663,0.845227,0.51006603
Cd36,1.865632325381894,0.8648864936547025,0.0018976768,0.03335842,0.011668006
Cpt1a,-0.22668487338225185,0.3609929930204558,0.05170165,0.042730007,0.06924402
Cst7,3.090076669360427,3.0922642246130727,0.04436595,0.45294857,0.45365107
Cxcl10,2.5680824247724776,1.8890328409514734,0.07255117,0.4795455,0.29575866
Elovl2,-0.5087213964288013,-0.02250816902467136,0.008785757,0.0032034768,0.008494946
Fabp4,0.8637196226049633,0.38396735890658096,0.00023870141,0.00863161,0.0033607418
Fabp5,1.2387101396150422,1.626414137206781,0.19309123,0.4692698,0.6170333
Fads1,-0.414749122975085,0.09860616182540567,0.1389476,0.10173304,0.14948393
Fads2,-0.670577183140367,-0.2650848177173331,0.014607074,0.005459524,0.010476772
Fasn,-0.7264516059792232,0.35309588584682294,0.04925038,0.025810255,0.06568043
Gpnmb,2.5669624829487945,3.663441077589383,0.0011987624,0.056359444,0.1318978
Grn,0.34745659679163143,0.1393948037662445,2.4212012,3.0832553,2.6678295
Hdac3,0.12971419360038064,-0.05400621798772087,0.12857898,0.14161606,0.12348727
Hmgcr,-0.7701559564711357,0.37215681321749566,0.10393535,0.05680646,0.13746497
Igf1,3.2656079407777785,3.865416422805602,0.002372907,0.10899198,0.17033418
Il1b,2.4423045342221603,2.0805461644723366,0.05644848,0.3511536,0.27105534
Il6,-1.6505173450630726,-0.7730951788892798,0.043424234,0.007017003,0.021261763
Il6ra,-1.1089252155364917,-0.6094639770511152,0.90678984,0.4150598,0.5909009
Il6st,-0.7367692575551874,0.6252495584256981,0.24880174,0.14530218,0.3891959
Itgax,1.6175290950510886,1.9855878052277944,0.0075306413,0.043792605,0.059425544
Lcn2,1.8853213224853786,0.996893305954929,0.0029355849,0.037788603,0.015815519
Lgals3,4.640505451036594,3.8370878971780686,0.0116965445,0.5311553,0.3000767
Lipa,0.268815167361941,0.35912135894318414,0.35222974,0.4264209,0.454612
Lpl,2.2152534499052496,2.5882166132022753,0.032106325,0.18552625,0.24320844
Mfsd2a,-0.8440261887188646,-0.5893055515122231,0.034571566,0.014830227,0.01962506
Mgll,-1.0367650006437255,-0.37029601661376405,0.47600496,0.22688815,0.36598498
Nos2,0.0,0.03728579144272769,0.0,0.0,0.00026181407
Nr1h3,0.3400984641905659,0.26159291186285616,0.0044476343,0.008288437,0.007319847
Plin2,1.9993192013855867,1.4568684752640666,0.16938537,0.707203,0.48243412
Plin3,0.9664921355855229,0.739811131300523,0.053470496,0.11402665,0.09599301
Ptgs2,1.6199559951891653,1.6857447810432409,0.03232045,0.120078534,0.12614761
Scd1,0.18086850355083484,0.5964271328124064,0.014583669,0.017867213,0.027169708
Scd2,-0.5554910935590356,0.8359400916410311,0.23867539,0.15920505,0.4338905
Serpina3n,1.5068777504535928,2.4389913755632078,0.0012744663,0.022041393,0.0511372
Soat1,0.08134865469268787,0.8174487438607175,0.2270648,0.24081613,0.40777618
Socs3,0.059902516606415164,-0.2968376737051872,1.0418203,1.0864125,0.8462183
Spp1,5.6904290016221255,5.067052186346265,0.0061799088,0.8255374,0.53238887
Stat3,-0.3578010874332193,0.2331660569646139,0.3066919,0.2371315,0.36224335
Tnf,0.750975083710496,0.08698203513165889,0.41410047,0.70373136,0.4404566
Trem2,-0.12891508008022468,-0.12119943569637752,3.109897,2.8432047,2.8585048
Tyrobp,0.13434063822062822,0.09228375561822326,3.138315,3.4455624,3.3462813
