gene,plin2_high_mean,other_mean,log2FC,padj
Plin2,1.507209988833359,0.30863857943143297,2.2514279169713776,0.00e+00
Lpl,0.37182525295281116,0.07340779410457213,2.1946584132704032,n.s.
Cd36,0.11781269060431653,0.07828158693236578,0.5338466209517838,n.s.
Apoe,3.9813385267882877,2.6465556822025302,0.5873156942806212,n.s.
Fabp5,1.1884312933284022,0.34914675329530726,1.738501822264622,n.s.
Spp1,1.5506003821070333,0.14631586535365396,3.3195650404470913,2.87e-216
Cst7,0.5043745920305277,0.15858638497140484,1.6093313522798243,n.s.
Lgals3,2.2470096565440745,0.10452026213696389,4.300737808171503,0.00e+00
Trem2,1.8228126221627343,2.812041739093963,-0.6226800268119436,n.s.
Tyrobp,3.55339217801762,3.234099849474902,0.1354330469625388,n.s.
Axl,0.3519465237395893,0.07426468970754692,2.10277644450546,n.s.
Mki67,0.09662935727283435,0.009599277111752002,2.4437323477267032,n.s.
Lamp1,2.197360203335288,2.1671330070588657,0.01989252348388827,n.s.
Ctsb,3.3050404749298665,2.963464310266394,0.15688172548829044,n.s.
Ctsd,3.403979019854569,4.291433518184309,-0.3333633475225298,n.s.
Nceh1,0.3309343870098763,0.12990673228467436,1.2850287322169185,n.s.
Cyp46a1,0.03277395174925856,0.05781270923650507,-0.6648231845207175,n.s.
Abca1,0.5069716499071266,0.5899784893861971,-0.21482561062266078,n.s.
Abcg1,0.3650485130429125,0.24840103534769373,0.5374653717160328,n.s.
P2ry12,0.6914037517973551,2.6542081572461766,-1.9253897533418352,n.s.
Tmem119,0.7867327997370928,2.163141642196988,-1.4476143365028322,n.s.
Il1b,1.2074794037328205,0.19590510788588877,2.5638458417951195,n.s.
Il10,0.015481972871987845,0.0033934383608497654,0.9279506020355652,n.s.
Megf10,0.0038300777593016804,0.012527917443397143,-0.7039046841145885,n.s.
Gulp1,0.0015371922841412179,0.003305360922818136,-0.20571547627086847,n.s.
Hmox1,0.9850839209123863,0.6024800719378153,0.7001552968268028,n.s.
Ch25h,0.12423712904830625,0.02297019433807342,2.025549470158097,n.s.
Igf1,0.3142144358907525,0.11328932070536205,1.3949004901473097,n.s.
Gpnmb,0.5658919519049225,0.019896968377107697,4.267727056215786,n.s.
