gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Malat1,6.8882084,6.5259233,-0.07794557,9.648846649046333e-09,50,32,7.418410080852779e-05,False
Hamp,2.241481,0.65957236,-1.7646949,1.9176451029734467e-08,50,32,7.418410080852779e-05,True
Scp2,2.2006278,0.82158124,-1.4213299,3.534327934978988e-08,50,32,9.11503174431081e-05,True
Serpina1e,1.894541,0.49224347,-1.9441875,9.717960037144066e-08,50,32,0.00018796964201845908,True
G6pc,0.38728523,1.6189593,2.0633152,3.280716735021602e-07,50,32,0.0005076581075772427,True
Fga,2.3023276,1.2408687,-0.891689,1.5183192478718393e-06,50,32,0.0019578726701307368,True
Fgb,2.778145,1.9091378,-0.54117703,3.579984425892188e-06,50,32,0.00395690564330398,True
Hdac9,0.12394497,0.7211389,2.539614,4.7309550142981515e-05,50,32,0.045754248682031,True
Serpina1c,1.8215507,0.9319584,-0.96675414,5.4431254828398774e-05,50,32,0.04679273540081348,True
Mug1,1.897752,2.8345714,0.57881385,8.055943150332607e-05,50,32,0.05810105827260927,False
Arg1,0.6992198,1.6732533,1.2587177,8.260458071587205e-05,50,32,0.05810105827260927,False
Scamp1,0.14898607,0.76895267,2.366937,0.0001703699546625214,50,32,0.10984602826866068,False
Pck1,0.78327096,1.8536544,1.2426825,0.0001948600402107142,50,32,0.11597170239309967,False
Stat5b,0.2800849,0.99763787,1.8322817,0.0003782227828101613,50,32,0.20902211932872986,False
N4bp2l1,0.058020897,0.5957149,3.3577354,0.00047481647862767686,50,32,0.24491033967615572,False
Pi4k2a,0.05248346,0.5112364,3.2815917,0.0005290993837827491,50,32,0.25585262077044557,False
Ap4e1,0.03815299,0.4047587,3.403774,0.0006071803585670547,50,32,0.2763384961313707,False
Brd2,0.67425376,0.11479519,-2.5531871,0.0007305203370440042,50,32,0.31151476752794105,False
Prex2,0.11781075,0.6794736,2.5269344,0.0009057194142316192,50,32,0.31151476752794105,False
B3gntl1,0.012519782,0.37394693,4.8894606,0.0010217274651681215,50,32,0.31151476752794105,False
Tusc3,0.015096776,0.42796212,4.815983,0.0010217274651681215,50,32,0.31151476752794105,False
Serinc3,0.020873178,0.4550544,4.4397388,0.0010217274651681215,50,32,0.31151476752794105,False
F8,0.21437572,0.7996639,1.8987598,0.0010433079617972864,50,32,0.31151476752794105,False
Fli1,0.11043828,0.62814367,2.5067782,0.0010489010049227066,50,32,0.31151476752794105,False
Hmgcs1,0.8428106,0.184174,-2.193527,0.0010533688145293945,50,32,0.31151476752794105,False
Mdfic,0.2545548,0.8205807,1.6882782,0.0010759870442938085,50,32,0.31151476752794105,False
Ahcy,0.017505877,0.3897478,4.468782,0.0010871007784999881,50,32,0.31151476752794105,False
Spen,0.1629604,0.70501655,2.1124554,0.0012440654464146782,50,32,0.33736639297764115,False
Arpc5,0.08762708,0.46899962,2.4188,0.0012645244146764372,50,32,0.33736639297764115,False
Etnppl,0.1896902,0.6616013,1.8017746,0.00132473133636111,50,32,0.3408681079763045,False
Vgll4,0.28622735,0.927916,1.6964843,0.0013657633898494818,50,32,0.3408681079763045,False
Phlda1,1.0186615,0.27585328,-1.8843205,0.0014314379476320976,50,32,0.3460948562759231,False
1810030O07Rik,0.0,0.256993,11.328074,0.0016467549782456777,50,32,0.3747336254907885,False
Kdr,0.0,0.27852952,11.444133,0.0016467549782456777,50,32,0.3747336254907885,False
Tat,0.8505265,1.6733409,0.9762199,0.0017653961647429324,50,32,0.3823513096726999,False
Lrmda,0.4838849,1.2170236,1.3304418,0.0017832367912203597,50,32,0.3823513096726999,False
Atg4c,0.07466813,0.48634243,2.7017736,0.001919678634118691,50,32,0.3823513096726999,False
Exoc6,0.47734725,1.1231223,1.2342304,0.0020123528223709728,50,32,0.3823513096726999,False
Npc1,0.28666553,0.84209764,1.5542873,0.002034498097517018,50,32,0.3823513096726999,False
Cfh,1.823894,1.1522031,-0.6625808,0.002048702194008693,50,32,0.3823513096726999,False
Hacd3,0.14964253,0.6317694,2.0771425,0.0020732680467455905,50,32,0.3823513096726999,False
Tox,0.15706408,0.6730526,2.0986621,0.002075579036610236,50,32,0.3823513096726999,False
Fxr1,0.6079453,1.2489334,1.0385613,0.0022608131064540096,50,32,0.39151709010384794,False
