gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Hamp,2.2964082,0.74391925,-1.62603,1.3989582875257727e-221,1291,1366,1.0496384031305873e-217,True
Pck1,0.6225469,2.18934,1.8140757,4.9907223485737905e-216,1291,1366,1.8722694890674576e-212,True
Fgg,2.923295,1.9766215,-0.5645351,1.2578077369148102e-135,1291,1366,3.14577715002394e-132,True
Scp2,1.9968891,0.93733805,-1.0910312,2.271986095416347e-127,1291,1366,4.261677918477213e-124,True
Fga,2.2366915,1.2413489,-0.8494059,2.2148321114559403e-125,1291,1366,3.323577066450784e-122,True
Serpina1e,1.7090992,0.71644473,-1.2541919,5.617249452439462e-121,1291,1366,7.024370440275547e-118,True
Fgb,2.6848671,1.8959309,-0.5019219,1.0232649408585651e-110,1291,1366,1.0967938358945449e-107,True
G6pc,0.46752968,1.3826874,1.564141,1.9769934649572063e-102,1291,1366,1.85417274594674e-99,True
Arg1,0.6352526,1.5792938,1.3137417,3.278184166012669e-101,1291,1366,2.732912866399228e-98,True
Mat1a,1.7814497,2.690729,0.59491783,3.159467861720481e-98,1291,1366,2.370548736648877e-95,True
Tat,0.882668,1.828841,1.0509021,3.10484609407748e-94,1291,1366,2.1177872948966664e-91,True
Mug1,2.0888338,2.9134183,0.47999558,3.5650629502873767e-94,1291,1366,2.2290556096671822e-91,False
Phlda1,0.8016438,0.11333638,-2.821258,1.7108216487138596e-93,1291,1366,9.874072946384684e-91,True
Cth,0.6613909,1.5478244,1.2265416,1.0187249442981895e-91,1291,1366,5.459638040763797e-89,True
Ces3b,1.1240051,0.37599462,-1.5796094,1.9022456177086774e-80,1291,1366,9.515032579778804e-78,True
Bhmt,1.5538625,2.3009703,0.5663534,5.689771788610252e-77,1291,1366,2.66814735812142e-74,True
Slc38a4,0.6996038,1.4081659,1.0091035,2.2887598128650834e-62,1291,1366,1.010150875054513e-59,True
Nudt7,1.1966277,0.519719,-1.2030137,6.034601428946118e-61,1291,1366,2.515423028965707e-58,True
Cfh,1.959093,1.2825059,-0.6111816,2.1506128344768886e-57,1291,1366,8.492656893200051e-55,True
Cdo1,0.60422575,1.2370577,1.033631,1.8803266506052878e-54,1291,1366,7.054045429745738e-52,True
Cps1,2.3732188,2.9320292,0.30504277,2.9480266337221964e-52,1291,1366,1.0532878015627448e-49,False
Fabp1,1.2004528,0.57951945,-1.0505209,6.137305955579691e-52,1291,1366,2.093100299305201e-49,True
Cyp3a25,0.7532265,1.4096508,0.90409297,2.2811413517078867e-49,1291,1366,7.441479809506207e-47,True
Igfbp1,0.03560436,0.33438337,3.227762,2.0846564909865282e-45,1291,1366,6.517157354946634e-43,True
Keg1,0.8440057,0.32026896,-1.3976895,6.754676654147295e-45,1291,1366,2.0272135574426862e-42,True
Cyp2c38,0.28498167,0.7914953,1.473388,2.8078911424332157e-44,1291,1366,8.102925862183237e-42,True
Pah,0.6823288,1.2637361,0.88905895,1.0677942997390866e-43,1291,1366,2.9672817151638393e-41,True
Mup3,1.6034592,1.0491735,-0.6118869,5.220071901974017e-42,1291,1366,1.3987928385896802e-39,True
Stab2,3.519739,3.0606544,-0.20162214,2.068977385372908e-41,1291,1366,5.352943904294113e-39,False
Id3,0.73258716,0.28420523,-1.3657569,4.297408986216737e-41,1291,1366,1.0747819874528059e-38,True
Id2,0.68244016,0.2573379,-1.4066895,3.613722617847691e-39,1291,1366,8.746374452164912e-37,True
Egfr,2.6095126,2.136913,-0.28823987,1.9466022806242344e-38,1291,1366,4.564174034851135e-36,False
Igf1,1.6866235,1.1500523,-0.5523985,9.62832012506436e-38,1291,1366,2.189129875707815e-35,True
Slc7a2,0.6896208,1.25619,0.8650851,1.7273041887472955e-37,1291,1366,3.8117539200502816e-35,True
Gpx1,0.90239245,0.4335653,-1.0573329,4.441270802741907e-37,1291,1366,9.520815666563579e-35,True
Serpina3k,1.5889479,1.104361,-0.52481997,5.261937677879204e-37,1291,1366,1.096675511031324e-34,True
Errfi1,2.2279558,2.722418,0.28915632,1.2029703660404604e-36,1291,1366,2.4394288260544796e-34,False
Etnppl,0.12338368,0.46770722,1.9215938,2.1860106206180656e-35,1291,1366,4.316220443815091e-33,True
Mup20,0.6128815,0.22423458,-1.4501915,6.833842519872387e-35,1291,1366,1.31472616478468e-32,True
Cyp2b9,0.0408459,0.29611224,2.8548403,3.6228341186132494e-34,1291,1366,6.795531097988802e-32,True
Serpina1c,1.5784905,1.1026368,-0.5175485,4.391006979606597e-33,1291,1366,8.035542772680073e-31,True
Onecut1,0.26057664,0.04459209,-2.5441697,1.0678337047955039e-30,1291,1366,1.9076086397811108e-28,True
Abcc2,1.2318271,1.7567766,0.5120959,1.1969079049545519e-30,1291,1366,2.088465118807908e-28,True
BC023105,0.25273246,0.61614895,1.2853316,2.657882711860961e-30,1291,1366,4.532294087975634e-28,True
Gbp2b,0.15185939,0.46126243,1.6022147,3.2593033106379807e-29,1291,1366,5.4343450532703926e-27,True
Upp2,0.6706073,1.1227663,0.74343085,3.1818836736768257e-28,1291,1366,5.189928957303744e-26,True
Aacs,0.40020782,0.12493152,-1.678818,4.175720670554877e-27,1291,1366,6.6660494023772845e-25,True
Mt1,0.56999624,0.99346185,0.80140424,5.6450344840693425e-27,1291,1366,8.823894527910891e-25,True
Adk,2.335422,2.7250187,0.22257398,1.184771466963027e-26,1291,1366,1.8141510850252228e-24,False
Hgd,0.9322458,1.3925241,0.5788689,1.5797237129119572e-26,1291,1366,2.3705334035956832e-24,True
Itga8,0.3839047,0.76960593,1.0031835,1.732757924986668e-25,1291,1366,2.5491926884656806e-23,True
Gm15622,0.21299283,0.5203152,1.2881811,1.8617749033418944e-25,1291,1366,2.686326365341199e-23,True
Cers6,0.44603443,0.8402579,0.9135254,3.506953401676276e-25,1291,1366,4.964654975995679e-23,True
Cyp2c29,0.7745959,1.2092962,0.64258486,2.422629675277804e-24,1291,1366,3.366109343260993e-22,True
G0s2,0.41153315,0.15193942,-1.4369136,9.972678542582466e-24,1291,1366,1.3604546746362952e-21,True
Lpin2,0.67113906,1.0581144,0.6567334,4.496058946334444e-22,1291,1366,6.023916120419166e-20,True
Gm20649,0.1487298,0.017439427,-3.08499,4.924404319795618e-22,1291,1366,6.48207115989939e-20,True
Lrg1,0.4636893,0.19779162,-1.2287589,5.358476657325996e-22,1291,1366,6.931836268951197e-20,True
Abca6,0.4445143,0.797628,0.8433426,6.842271546916477e-22,1291,1366,8.701281935002429e-20,True
Hdac9,0.6064728,1.011286,0.7375811,7.090688925562305e-22,1291,1366,8.866906501415662e-20,True
Slco1b2,1.5362196,1.9535749,0.34671202,2.5947270517329527e-21,1291,1366,3.191514273631532e-19,False
Cyp2c54,0.39490518,0.735679,0.897401,4.5696456620479345e-21,1291,1366,5.530008290700912e-19,True
Angptl8,0.37864074,0.13407248,-1.4971217,5.093788491472668e-21,1291,1366,6.066459531987211e-19,True
C3,2.0195093,1.7200286,-0.23155971,1.5090262891599734e-20,1291,1366,1.7690975386823874e-18,False
Zeb1,1.8066678,1.4258572,-0.34148046,3.34314993955768e-20,1291,1366,3.859023691769426e-18,False
Cish,0.23118562,0.07007682,-1.720609,5.104320945046924e-20,1291,1366,5.802684856164708e-18,True
Cyp7b1,0.6424827,0.3342629,-0.94246745,6.092748225606878e-20,1291,1366,6.822968647272896e-18,True
Dpyd,2.7894247,3.0851293,0.14535847,8.626709141598733e-20,1291,1366,9.518558630796368e-18,False
C8b,0.48380655,0.22290638,-1.1176435,3.5511243862125257e-19,1291,1366,3.861461778225012e-17,True
Uox,0.79871297,1.1728573,0.5542208,4.032104647967895e-19,1291,1366,4.3218401676718734e-17,True
Slc2a2,0.19182569,0.43629977,1.1851025,4.142630371293147e-19,1291,1366,4.3777684050440114e-17,True
Pid1,1.7147598,2.1217368,0.3072229,5.047855980024753e-19,1291,1366,5.260286585850795e-17,False
Asl,0.27775845,0.5616384,1.0155485,5.932545877803364e-19,1291,1366,6.097519413857349e-17,True
Comt,1.0435318,0.70338655,-0.56901807,1.0801132102928897e-18,1291,1366,1.0951472184902098e-16,True
Hmgcs2,0.70338273,1.0590394,0.5903055,1.9835744866246512e-18,1291,1366,1.9843679164193012e-16,True
Iigp1,0.82474685,1.1938531,0.533548,2.2873550108121933e-18,1291,1366,2.25816113764788e-16,True
Gm43314,0.02503618,0.15477204,2.6232395,9.102784919509565e-18,1291,1366,8.869895487153281e-16,True
Cyp26b1,0.06756405,0.23806897,1.815524,1.5599084698988362e-17,1291,1366,1.5005119550834574e-15,True
Qsox1,0.7027609,0.4082585,-0.78340304,1.6919686070573896e-17,1291,1366,1.6069418302217209e-15,True
Saa2,1.6649218,1.3171484,-0.33801353,3.8316129721802945e-17,1291,1366,3.593574016283593e-15,False
Dock10,0.37429267,0.6639099,0.82665265,4.959955844478194e-17,1291,1366,4.594388728533319e-15,True
Got1,0.37072045,0.65477157,0.8204913,5.75296710156256e-17,1291,1366,5.263964897929742e-15,True
Ralgapa2,2.1668482,1.8120586,-0.25795543,5.855715459342543e-17,1291,1366,5.293425673668325e-15,False
Carmil1,0.2623679,0.52422965,0.9983332,8.07628930960446e-17,1291,1366,7.213856986900269e-15,True
Gfra1,0.39489487,0.6886394,0.8021244,9.464914976554398e-17,1291,1366,8.354736125775018e-15,True
Tsc22d3,0.24848948,0.49737316,1.0008534,1.183048014993984e-16,1291,1366,1.0321406112209142e-14,True
Btnl9,0.42878488,0.19244224,-1.1554154,1.5222410382070017e-16,1291,1366,1.3128016677778314e-14,True
Il6ra,0.23399206,0.4714637,1.0103767,1.7387773302980142e-16,1291,1366,1.473951826690855e-14,True
Fmo5,1.0564054,1.4274116,0.43420225,1.7483901449485018e-16,1291,1366,1.473951826690855e-14,False
Selenbp2,0.54977685,0.28774345,-0.93382424,3.251652815171285e-16,1291,1366,2.710794563581128e-14,True
Adgb,0.34387618,0.6116956,0.8307411,3.6154731720371096e-16,1291,1366,2.9809774955818057e-14,True
Alb,3.1910038,3.006956,-0.085703745,4.926013682133749e-16,1291,1366,4.017378332287991e-14,False
Prr16,1.0311012,1.3855113,0.42619666,7.397180640183535e-16,1291,1366,5.967854445515814e-14,False
Gm3734,0.02630192,0.14548455,2.4631426,9.823930019598326e-16,1291,1366,7.841377333728324e-14,True
Adgrl3,0.1032823,0.2867587,1.4723508,1.927022516319304e-15,1291,1366,1.521942098941446e-13,True
Trp53inp1,0.17247038,0.36628765,1.0861859,2.2699783363299506e-15,1291,1366,1.7741299434878772e-13,True
Adgre1,0.3701593,0.64507586,0.8011565,2.6233198262394916e-15,1291,1366,2.0291514078633923e-13,True
Ttpa,0.42344746,0.69044083,0.7052031,2.950628404254482e-15,1291,1366,2.2590372364409573e-13,True
Zbtb20,2.689665,2.8895986,0.103438936,3.2268263179369937e-15,1291,1366,2.445543218533461e-13,False
Kynu,1.5830004,1.9377553,0.29170805,3.326593334604144e-15,1291,1366,2.4959429789534895e-13,False
