gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Pck1,0.523558,2.0017006,1.9346013,1.0656198708542767e-92,599,503,8.695458146170898e-89,True
Hamp,2.1108484,0.66144603,-1.6739777,1.3884431334347542e-91,599,503,5.664847984413797e-88,True
Malat1,6.9778495,6.6447945,-0.07055682,8.801876897889815e-58,599,503,2.3941105162260295e-54,False
Fgb,2.5234709,1.6532941,-0.6100359,4.3818941065217115e-54,599,503,8.939063977304291e-51,True
Fga,2.1151304,1.1850555,-0.8357384,3.842335466833212e-52,599,503,6.270691481871802e-49,True
Fgg,2.731974,1.8792635,-0.53975224,2.3525198776414203e-51,599,503,3.1994270335923316e-48,True
Serpina1e,1.5270019,0.6440152,-1.2454057,2.3817073774135933e-45,599,503,2.776390314242132e-42,True
Scp2,1.8525012,0.9729887,-0.92890906,8.060377736842297e-44,599,503,8.221585291579143e-41,True
Tat,0.7947224,1.669994,1.0712248,4.113744518218825e-40,599,503,3.7297950298517345e-37,True
G6pc,0.46731776,1.2514944,1.4209827,2.5452185634142672e-39,599,503,2.076898347746042e-36,True
Cth,0.55151206,1.3668427,1.309227,1.6742990906140333e-38,599,503,1.2420255072191374e-35,True
Mug1,2.004434,2.7363937,0.4490616,1.3796090138619126e-37,599,503,9.381341294261007e-35,False
Ces3b,1.0398524,0.3655344,-1.5080438,1.1836390914784606e-29,599,503,7.429611528049414e-27,True
Mat1a,1.7534131,2.4100957,0.45890206,2.069183297358661e-28,599,503,1.2060382647461908e-25,False
Phlda1,1.0415981,0.4032832,-1.3687143,5.088341271567981e-28,599,503,2.768057651732982e-25,True
Bhmt,1.3880508,2.1049912,0.6007184,7.5348973920465565e-28,599,503,3.8427976699437437e-25,True
Arg1,0.6074803,1.2963881,1.0934621,1.2173512638411346e-26,599,503,5.8432860664374454e-24,True
Cdo1,0.5590687,1.158141,1.05058,1.5811221037399842e-24,599,503,7.167753536954595e-22,True
Mup3,1.5801266,0.95176196,-0.73130727,5.745267167875187e-24,599,503,2.467441057361133e-21,True
Cyp3a25,0.67017806,1.3054366,0.9618113,1.872909153023115e-23,599,503,7.64146934433431e-21,True
Slc38a4,0.6866077,1.2821716,0.90093374,2.201829916956015e-22,599,503,8.555681963029088e-20,True
Hdac9,0.3560309,0.8790957,1.3037767,1.0946711877000692e-21,599,503,4.0602349507420747e-19,True
Keg1,0.7388746,0.23687626,-1.6407822,1.1828490753882943e-21,599,503,4.196542806594992e-19,True
Egfr,2.5689952,2.0691903,-0.31212437,3.02435135597422e-21,599,503,1.0282794610312348e-18,False
Nudt7,1.0754609,0.5183238,-1.0528854,4.091462426656344e-21,599,503,1.3354533360606307e-18,True
Igf1,1.5690355,0.99513096,-0.6568667,6.5823441537526206e-21,599,503,2.065843395946976e-18,True
Cyp2c38,0.29287496,0.75710356,1.3699039,8.855328870079453e-20,599,503,2.6762771696240122e-17,True
Fabp1,1.1074927,0.59366226,-0.89947015,2.2644129084937135e-17,599,503,6.599146190467394e-15,True
Cfh,2.1079454,1.6698511,-0.33610004,3.921772085743107e-17,599,503,1.1035055248159914e-14,False
Pah,0.6024871,1.1041387,0.87381047,5.844591439056245e-17,599,503,1.5897288714232988e-14,True
Cps1,2.2689102,2.72046,0.26184055,4.9123059475398e-16,599,503,1.2930456945782182e-13,False
Cers6,0.36983585,0.7849734,1.0855526,9.929609015938216e-16,599,503,2.532050299064245e-13,True
Serpina1c,1.4522209,0.9941632,-0.54666054,4.579551624776906e-15,599,503,1.132398219944835e-12,True
C3,1.8375815,1.4643759,-0.32750237,2.8760343220866397e-14,599,503,6.902482373007935e-12,False
Errfi1,2.0578713,2.5748963,0.32334757,5.1318300931462066e-14,599,503,1.1964495302878012e-11,False
Upp2,0.6687731,1.1115226,0.7328625,6.393838228134417e-14,599,503,1.4492699983771344e-11,True
Angptl8,0.40075755,0.11193545,-1.8391342,1.8558235960295606e-13,599,503,4.0928433901624904e-11,True
Hmgcs1,0.54754764,0.20727381,-1.4010143,2.3625900989294096e-13,599,503,5.0733513703326266e-11,True
Gpx1,0.819323,0.42659363,-0.94140786,2.7662474871178424e-13,599,503,5.787840896123486e-11,True
Serpina3k,1.4666034,1.0514516,-0.4800575,3.422897154813173e-13,599,503,6.982710195818873e-11,False
Id3,1.0257789,0.6157883,-0.73611975,8.83780310409236e-13,599,503,1.7589383738876502e-10,True
G0s2,0.54961604,0.23636052,-1.2170873,6.247119985908145e-12,599,503,1.2137261686907253e-09,True
Slco1b2,1.4076549,1.8928143,0.42721295,8.285603555630647e-12,599,503,1.572337791022002e-09,False
Klra2,0.15871705,0.4107576,1.3712726,8.688968858735562e-12,599,503,1.6114087701655042e-09,True
Gbp2b,0.14519729,0.40025327,1.4622657,1.397988447899471e-11,599,503,2.535019052191041e-09,True
Onecut1,0.2182433,0.04792849,-2.1846359,1.819031175883244e-11,599,503,3.2268031293928847e-09,True
Hk3,0.08659693,0.2769919,1.6763117,2.0964889211949628e-11,599,503,3.6398616163725314e-09,True
Ypel2,0.3464384,0.6711789,0.95389706,4.3383636310384534e-11,599,503,7.375218172765371e-09,True
Adgre1,0.2500981,0.53899246,1.1074619,5.072879707755243e-11,599,503,8.447897635771996e-09,True
Mgst1,1.5094666,1.1152817,-0.4365969,5.205840003396697e-11,599,503,8.495930885543409e-09,False
Asl,0.25619164,0.54713494,1.094374,7.112687284865556e-11,599,503,1.138029965578489e-08,True
Rasgef1b,0.29878896,0.59055907,0.9827161,1.0436555016163083e-10,599,503,1.637736325613284e-08,True
Hgd,0.88303953,1.3018792,0.559993,1.621350416927946e-10,599,503,2.4962678117230263e-08,True
Cyp2b9,0.054002766,0.23540156,2.1219623,1.698878030197729e-10,599,503,2.567193467854346e-08,True
Lrg1,0.44090104,0.17317759,-1.3476969,1.7374945233304733e-10,599,503,2.5778100564321205e-08,True
Stat5b,0.48279276,0.81431276,0.75405735,2.7048114403779023e-10,599,503,3.941296670264943e-08,True
BC023105,0.23050238,0.50182897,1.1220758,2.8756051245154556e-10,599,503,4.1166557572010735e-08,True
Cish,0.18101214,0.032545123,-2.4719439,3.058110337750237e-10,599,503,4.302444888972747e-08,True
Gbp4,0.16693567,0.4071212,1.2856565,3.495469396915926e-10,599,503,4.834411911666772e-08,True
Alb,2.9969716,2.728965,-0.1351468,3.932107715119006e-10,599,503,5.347666492561848e-08,False
Aacs,0.3421025,0.10735028,-1.6711808,5.156911521305658e-10,599,503,6.898425903910519e-08,True
Etnppl,0.1748177,0.41747263,1.2553508,8.153945181438605e-10,599,503,1.0731643980732098e-07,True
Zfp36l1,1.0673021,0.717739,-0.57237154,8.365378375197747e-10,599,503,1.0835156752637082e-07,True
Igfbp2,0.070161834,0.25717953,1.8725234,1.0066821629599661e-09,599,503,1.283519757773957e-07,True
Il6ra,0.1672191,0.40198648,1.2649035,1.0269383612192352e-09,599,503,1.2892026196229167e-07,True
