gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Adipor2,2.4206822,1.5917879,-0.6047344,0.0,8788,9002,0.0,True
Tat,1.7179667,2.6046774,0.60037404,0.0,8788,9002,0.0,True
1700042O10Rik,0.84581566,0.3795273,-1.1559302,0.0,8788,9002,0.0,True
Slc38a4,1.3530205,2.0118568,0.5723089,0.0,8788,9002,0.0,True
Onecut1,0.619817,0.07761544,-2.995802,0.0,8788,9002,0.0,True
Cth,1.2196313,2.1585498,0.82356566,0.0,8788,9002,0.0,True
Gm20649,0.40509942,0.04005758,-3.3348877,0.0,8788,9002,0.0,True
G0s2,0.70340216,0.23531386,-1.5793556,0.0,8788,9002,0.0,True
Egfr,3.4738717,2.7618432,-0.33090237,0.0,8788,9002,0.0,False
Gm43323,0.83689284,0.35760707,-1.2264367,0.0,8788,9002,0.0,True
Ddc,1.8524327,1.1455885,-0.6932841,0.0,8788,9002,0.0,True
Nudt7,1.9541532,0.86888355,-1.1692166,0.0,8788,9002,0.0,True
Aacs,0.9373061,0.26469716,-1.8237866,0.0,8788,9002,0.0,True
Cyp2c67,1.0378621,0.45499948,-1.1895,0.0,8788,9002,0.0,True
Hsd3b5,0.4503499,0.1008226,-2.1581173,0.0,8788,9002,0.0,True
Cyp3a25,1.5372387,2.2334843,0.5389255,0.0,8788,9002,0.0,True
Angptl8,0.83103716,0.25346318,-1.7127415,0.0,8788,9002,0.0,True
Adh1,2.1914754,1.5147163,-0.53282547,0.0,8788,9002,0.0,True
Serpina3k,1.9363825,1.3214597,-0.55119693,0.0,8788,9002,0.0,True
Ces3b,2.054669,0.7516894,-1.4505756,0.0,8788,9002,0.0,True
Qsox1,1.3549421,0.61698574,-1.1347948,0.0,8788,9002,0.0,True
Pck1,1.1199781,3.0276916,1.4346665,0.0,8788,9002,0.0,True
Gpx1,1.0637205,0.54211307,-0.97232294,0.0,8788,9002,0.0,True
Gm10319,2.242956,1.5239747,-0.5575319,0.0,8788,9002,0.0,True
Igfbp1,0.07880697,0.49423978,2.6472783,0.0,8788,9002,0.0,True
Pah,1.4206051,1.8948792,0.41557494,0.0,8788,9002,0.0,False
Hamp,2.7162511,0.892648,-1.605345,0.0,8788,9002,0.0,True
Igf1,2.6485183,1.5386477,-0.78348327,0.0,8788,9002,0.0,True
Pcyt2,2.587522,1.8201287,-0.5075072,0.0,8788,9002,0.0,True
G6pc,0.9191711,1.9526125,1.0869173,0.0,8788,9002,0.0,True
Als2,0.9718156,0.47211736,-1.04138,0.0,8788,9002,0.0,True
Gm47283,0.9431749,0.39377186,-1.2599521,0.0,8788,9002,0.0,True
Mug1,3.2425714,3.6923597,0.18739934,0.0,8788,9002,0.0,False
Phlda1,1.5266899,0.23860206,-2.6772187,0.0,8788,9002,0.0,True
Comt,1.7537181,0.9997542,-0.8107095,0.0,8788,9002,0.0,True
Selenbp2,1.2019699,0.616439,-0.9632567,0.0,8788,9002,0.0,True
C3,2.6357079,2.0652637,-0.35184938,0.0,8788,9002,0.0,False
Xbp1,0.7514157,0.2895943,-1.3752722,0.0,8788,9002,0.0,True
Cfh,2.9940865,1.8272085,-0.7124437,0.0,8788,9002,0.0,True
9030622O22Rik,2.4857,1.8522637,-0.4243427,0.0,8788,9002,0.0,False
Fgg,3.7096093,2.6615617,-0.47897893,0.0,8788,9002,0.0,False
Cdo1,0.9421063,1.6911772,0.84399825,0.0,8788,9002,0.0,True
Fga,2.8124137,1.6979905,-0.72794664,0.0,8788,9002,0.0,True
Fabp1,1.688666,0.81602347,-1.04911,0.0,8788,9002,0.0,True
Fgb,3.2234707,2.3485894,-0.45680365,0.0,8788,9002,0.0,False
