gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Pck1,0.5708591,2.1730893,1.9283545,5.315155722486744e-293,1503,1879,4.180901491308073e-289,True
Hamp,2.1323555,0.6764122,-1.6563275,3.293348090955605e-268,1503,1879,1.2952738041728395e-264,True
G6pc,0.44676757,1.3867393,1.6338813,1.2586756498523366e-148,1503,1879,3.3002475539128264e-145,True
Mug1,2.0202553,2.8861582,0.5145914,3.755195865846594e-140,1503,1879,7.384592670187327e-137,True
Mat1a,1.7264755,2.619617,0.60149753,4.163733277222627e-135,1503,1879,6.550385191726637e-132,True
Fga,2.1311755,1.2965419,-0.71693695,3.05286465958251e-130,1503,1879,4.002305568712671e-127,True
Tat,0.85631937,1.7968317,1.0691462,1.3371763987439269e-129,1503,1879,1.5026042217885328e-126,True
Arg1,0.5707045,1.496804,1.390913,1.6417920483285233e-129,1503,1879,1.6142920315190206e-126,True
Cth,0.6167216,1.5293065,1.3100468,1.1851813515480745e-127,1503,1879,1.0358485012530171e-124,True
Serpina1e,1.5941129,0.72778773,-1.1310564,2.048254868888118e-127,1503,1879,1.6111572798673934e-124,True
Fgb,2.5635314,1.8364652,-0.48117867,1.2012420991544299e-120,1503,1879,8.589973047226131e-118,False
Fgg,2.7449763,1.9589072,-0.48672348,2.8541882321761884e-118,1503,1879,1.8709203861914914e-115,False
Bhmt,1.4433868,2.248758,0.6396346,3.1777189675707846e-114,1503,1879,1.922764415300907e-111,True
Phlda1,0.7791825,0.14100425,-2.465385,6.517961865906044e-114,1503,1879,3.662163431229782e-111,True
Scp2,1.8458165,1.0075963,-0.8732765,2.804192686040249e-108,1503,1879,1.4705186445595066e-105,True
Cdo1,0.5422671,1.2425959,1.1961317,6.407877756409908e-92,1503,1879,3.150272901995021e-89,True
Cyp3a25,0.69271976,1.4511737,1.0667676,4.4141311493928534e-89,1503,1879,2.0424444483014227e-86,True
Cps1,2.2698567,2.884048,0.34548038,6.520560106554952e-86,1503,1879,2.849484766564514e-83,False
