gene,7dpi,control,log2FC
Orm2,0.38767365,0.21686774,0.8377341
Il6ra,0.71934074,0.40912426,0.8139843
Saa1,2.1214988,1.947585,0.123391435
Saa3,0.050904766,0.047311645,0.10539063
Il6st,0.45694652,0.4288621,0.09149092
Stat3,1.0641509,1.1000918,-0.047916695
Hp,1.6834323,1.8143121,-0.108010724
Orm1,1.0478609,1.1516674,-0.1362645
Saa2,1.353332,1.5167055,-0.16441369
Serpina3n,0.18126605,0.20723808,-0.1930806
Socs1,0.016941505,0.019674134,-0.2145618
Crp,1.1794138,1.4130762,-0.26074904
Fgb,2.3485894,3.2234707,-0.45680365
Fgg,2.6615617,3.7096093,-0.47897893
Lcn2,0.15412183,0.23211251,-0.59043866
Fga,1.6979905,2.8124137,-0.72794664
Apcs,0.22157604,0.5446876,-1.2972412
Socs3,0.039977007,0.116182856,-1.5367917
Hamp,0.892648,2.7162511,-1.605345
