pathway,gene,log2FC,mean_control,mean_7dpi
IL6_STAT3_acute_phase,Apcs,-1.2972412,0.5446876,0.22157604
IL6_STAT3_acute_phase,Crp,-0.26074904,1.4130762,1.1794138
IL6_STAT3_acute_phase,Fga,-0.72794664,2.8124137,1.6979905
IL6_STAT3_acute_phase,Fgb,-0.45680365,3.2234707,2.3485894
IL6_STAT3_acute_phase,Fgg,-0.47897893,3.7096093,2.6615617
IL6_STAT3_acute_phase,Hamp,-1.605345,2.7162511,0.892648
IL6_STAT3_acute_phase,Hp,-0.108010724,1.8143121,1.6834323
IL6_STAT3_acute_phase,Il6ra,0.8139843,0.40912426,0.71934074
IL6_STAT3_acute_phase,Il6st,0.09149092,0.4288621,0.45694652
IL6_STAT3_acute_phase,Lcn2,-0.59043866,0.23211251,0.15412183
IL6_STAT3_acute_phase,Orm1,-0.1362645,1.1516674,1.0478609
IL6_STAT3_acute_phase,Orm2,0.8377341,0.21686774,0.38767365
IL6_STAT3_acute_phase,Saa1,0.123391435,1.947585,2.1214988
IL6_STAT3_acute_phase,Saa2,-0.16441369,1.5167055,1.353332
IL6_STAT3_acute_phase,Saa3,0.10539063,0.047311645,0.050904766
IL6_STAT3_acute_phase,Serpina3n,-0.1930806,0.20723808,0.18126605
IL6_STAT3_acute_phase,Socs1,-0.2145618,0.019674134,0.016941505
IL6_STAT3_acute_phase,Socs3,-1.5367917,0.116182856,0.039977007
IL6_STAT3_acute_phase,Stat3,-0.047916695,1.1000918,1.0641509
Lipid_synthesis_VLDL,Acaca,-0.33989027,1.2622225,0.9972628
Lipid_synthesis_VLDL,Acacb,-0.6610023,0.6395389,0.40443245
Lipid_synthesis_VLDL,Agpat2,-0.6662697,0.42667627,0.2688262
Lipid_synthesis_VLDL,Apoa1,-0.038296055,2.3948085,2.3320725
Lipid_synthesis_VLDL,Apoa2,0.09156129,2.647371,2.8208404
Lipid_synthesis_VLDL,Apoa4,-0.5472562,0.0405119,0.02769155
Lipid_synthesis_VLDL,Apob,-0.22029287,2.465082,2.1159904
Lipid_synthesis_VLDL,Apoc2,-0.9580129,0.0012710538,0.0006057711
Lipid_synthesis_VLDL,Apoc3,-0.10127703,1.4881808,1.3872864
Lipid_synthesis_VLDL,Apoe,-0.05451517,2.41809,2.3284187
Lipid_synthesis_VLDL,Dgat1,-0.41664183,0.088042125,0.06593312
Lipid_synthesis_VLDL,Dgat2,0.20927843,0.5997467,0.69338864
Lipid_synthesis_VLDL,Fasn,-0.94088167,0.53517634,0.2787332
Lipid_synthesis_VLDL,Gpam,-0.62570965,0.90601444,0.5871536
Lipid_synthesis_VLDL,Mttp,-0.26086816,0.47817957,0.39906523
Lipid_synthesis_VLDL,Scd1,-1.1043456,0.46619937,0.21678208
Lipid_synthesis_VLDL,Scd2,0.28629124,0.011914495,0.014551693
DHA_PUFA_synthesis,Acsl1,-0.3854947,2.1990101,1.6833549
DHA_PUFA_synthesis,Acsl4,-0.7035925,0.6680072,0.41014543
DHA_PUFA_synthesis,Elovl2,0.25421265,0.3776363,0.4504203
