gene,7dpi,control,log2FC
Scd2,0.014551693,0.011914495,0.28629124
Dgat2,0.69338864,0.5997467,0.20927843
Apoa2,2.8208404,2.647371,0.09156129
Apoa1,2.3320725,2.3948085,-0.038296055
Apoe,2.3284187,2.41809,-0.05451517
Apoc3,1.3872864,1.4881808,-0.10127703
Apob,2.1159904,2.465082,-0.22029287
Mttp,0.39906523,0.47817957,-0.26086816
Acaca,0.9972628,1.2622225,-0.33989027
Dgat1,0.06593312,0.088042125,-0.41664183
Apoa4,0.02769155,0.0405119,-0.5472562
Gpam,0.5871536,0.90601444,-0.62570965
Acacb,0.40443245,0.6395389,-0.6610023
Agpat2,0.2688262,0.42667627,-0.6662697
Fasn,0.2787332,0.53517634,-0.94088167
Apoc2,0.0006057711,0.0012710538,-0.9580129
Scd1,0.21678208,0.46619937,-1.1043456
