gene,log2FC,pval,pct_target,mean_target
Cyp2d36-ps,1.8939544,3.5515983724557285e-292,0.4898725534820209,0.72757953
Gabbr2,1.7824736,1.2634846899007486e-102,0.2191624943104233,0.28542405
Gm13944,1.7660329,2.866978559431062e-145,0.29631315430132,0.38100815
Fndc4,1.7226638,7.607248630462515e-117,0.2489758761948111,0.3061908
Bdh1,1.7096092,2.30749892045818e-147,0.3144060081929904,0.43415868
Nrbp2,1.7094785,6.969235033984186e-120,0.26422394173873465,0.32452434
Mst1,1.6746083,3.168425508359817e-309,0.5588302230314065,0.8162491
Epha1,1.6660206,9.544070316671774e-101,0.22246244879380975,0.27026188
Agxt,1.6536428,1.8040606667028405e-249,0.48497951752389623,0.7124658
Celsr1,1.6452161,3.0994364760880816e-111,0.25477924442421485,0.3274867
Ugt1a6a,1.641457,3.8571331153866422e-177,0.3717569412835685,0.48287383
Gm13449,1.6314985,1.430952764020246e-148,0.323167956304051,0.42253926
9330162012Rik,1.6243759,6.043402525647853e-91,0.20937642239417387,0.25479978
Ablim3,1.6010594,3.1700213717451787e-230,0.4701866181156122,0.695726
Gm20649,1.5965397,8.686518663066681e-144,0.31690942193900773,0.40509942
Ldhd,1.592241,1.3779078449834914e-94,0.2236003641329085,0.2689328
Dsc2,1.5772325,1.1602116346786925e-112,0.26228948566226673,0.32768613
Esrp2,1.567585,5.1472583676708356e-95,0.2262175694128357,0.27471545
Cgn,1.5593774,2.0283533415962988e-143,0.325898953117888,0.4213533
Grb7,1.5560417,2.775936110717632e-114,0.2690031861629495,0.33679077
Aspg,1.554568,2.6243614137542384e-154,0.35366408739189803,0.4850877
Nr1i2,1.5516769,2.6501428138298642e-207,0.4443559399180701,0.6248463
Kif21a,1.5499312,5.0988729011148725e-270,0.5408511606736459,0.8001449
Rorc,1.5458534,0.0,0.6387118798361402,1.0525804
Erbb3,1.5400308,5.085300292383348e-133,0.30746472462448793,0.3902104
Neb,1.5399079,7.948988158459153e-214,0.4623350022758307,0.68968004
Gm36041,1.536625,0.0,0.7158625398270368,1.4542266
Etnk2,1.5330181,1.5380275232665644e-230,0.48600364132908513,0.7170406
BC028777,1.529568,9.733100931755966e-120,0.2765134274010014,0.35359436
Arhgef19,1.5228761,5.044847750276389e-186,0.4153390987710514,0.56299025
Eps8l2,1.5191816,1.529053774417403e-204,0.4461766044606281,0.6232827
Fgfr4,1.5174915,1.1490611340340642e-212,0.45801092398725535,0.64461493
Cbs,1.5115693,0.0,0.6462221210741921,1.0219318
Gm28068,1.5100359,2.808294396778654e-80,0.2033454710969504,0.2508597
Aldh1a7,1.5095367,2.0778962105845414e-103,0.25819299044151117,0.34102175
Rhou,1.5075657,4.233059269875194e-141,0.32988165680473375,0.4352674
Bbox1,1.5073012,1.556187625055134e-113,0.27412380518889395,0.34943047
Slc23a1,1.506969,5.3614190550584116e-117,0.28106508875739644,0.35326895
Dlgap1,1.5012002,7.002301361534396e-172,0.40043240782885753,0.6078052
Sec16b,1.4986445,2.1249164578801793e-219,0.47633136094674555,0.65822864
Ptpn3,1.497053,7.671071375119359e-200,0.44310423304506147,0.6256518
Hgfac,1.4939872,6.439929937845256e-207,0.4598315885298134,0.6372749
Sec14l4,1.492817,2.1639971946466268e-134,0.3221438324988621,0.41367343
Gm31333,1.4901562,5.4293974933249695e-114,0.2775375512061903,0.3536205
Thpo,1.4871945,5.326389920069162e-112,0.27856167501137913,0.34473753
Vwce,1.4864773,3.492814712380951e-134,0.32032316795630406,0.41667286
Ppargc1a,1.4863746,2.4231995671894926e-86,0.21756941283568504,0.28444874
Slc17a4,1.4823612,5.377618590386078e-134,0.3246472462448794,0.44059023
Tcea3,1.4791396,5.0180872984866935e-169,0.39041875284478833,0.52632743
Echdc3,1.4783187,4.7982461246961835e-180,0.4135184342284934,0.56142336
Gm10069,1.4763463,8.538031341229072e-181,0.4159080564406008,0.57129973
Hsd3b5,1.4754063,7.180073477253736e-127,0.3158852981338188,0.4503499
Faah,1.4710425,4.019784212483436e-199,0.4458352298588985,0.6082768
Gm16348,1.4697475,1.2633997362880125e-173,0.40418752844788347,0.5503375
Acsm5,1.4691234,1.6322736609525998e-290,0.5950159308147474,0.9490094
Necab1,1.4678276,0.0,0.6417842512517069,1.0446748
Fdps,1.4626222,3.015926750100083e-280,0.5828402366863905,0.96540284
Fyb2,1.4551486,5.3998964441930024e-139,0.3429676832043696,0.47077447
Tedc2,1.453398,1.6480369284452326e-154,0.3689121529358216,0.49010658
Cfhr3,1.45335,7.470122305497956e-240,0.5265134274010014,0.7718356
