cell_type,gene,log2FC,FDR,significant
Hepatocyte,Il6ra,0.8139843,6.705560642059734e-121,True
Hepatocyte,Stat3,-0.047916695,0.6170746244510091,False
Hepatocyte,Socs3,-1.5367917,7.599065618276854e-74,True
Hepatocyte,Saa1,0.123391435,1.7189186009632467e-46,False
Hepatocyte,Saa2,-0.16441369,1.8881779457596506e-16,False
Hepatocyte,Crp,-0.26074904,1.456759807162449e-41,False
Hepatocyte,Hamp,-1.605345,0.0,True
Hepatocyte,Apob,-0.22029287,8.534864826740581e-136,False
Hepatocyte,Mttp,-0.26086816,5.2717311479443935e-24,False
Hepatocyte,Fasn,-0.94088167,1.421415069442e-158,True
Hepatocyte,Scd1,-1.1043456,3.054860494511714e-186,True
Hepatocyte,Fads2,-0.52371705,2.0900319654128175e-90,True
Hepatocyte,Elovl2,0.25421265,0.0001646913340383,False
Hepatocyte,Plin2,-0.90508664,9.518593751247852e-199,True
Hepatocyte,Cd36,0.95641124,8.454284606381945e-19,True
Hepatocyte,Mgll,-0.26676223,4.705287367272917e-17,False
Hepatocyte,Apoe,-0.05451517,0.0005034580364133,False
Kupffer_cell,Il6ra,0.28487533,2.7067934209257127e-05,False
Kupffer_cell,Stat3,0.30130124,2.6622325560297057e-08,False
Kupffer_cell,Saa1,-0.021135693,0.5164778061784328,False
Kupffer_cell,Saa2,-0.30765045,1.2781494775694176e-13,False
Kupffer_cell,Crp,0.38465333,1.4237523565910511e-06,False
Kupffer_cell,Hamp,-1.6563275,1.2952738041728395e-264,True
Kupffer_cell,Apob,-0.04853287,0.334126775236253,False
Kupffer_cell,Mttp,0.0049070814,0.8940619989679516,False
Kupffer_cell,Fasn,-0.40766662,0.0556879716522161,False
Kupffer_cell,Scd1,-0.99957013,2.2790659051118563e-14,True
Kupffer_cell,Fads2,0.036138054,0.8921688128240622,False
Kupffer_cell,Elovl2,0.62434125,8.57180379064271e-06,True
Kupffer_cell,Plin2,-0.2377227,0.0227888935316369,False
Kupffer_cell,Lpl,-0.87249476,3.43533230500192e-07,True
Kupffer_cell,Cd36,0.7500924,2.0969987544801778e-07,True
Kupffer_cell,Mgll,0.37864742,0.0310068121598649,False
Kupffer_cell,Apoe,-0.101694405,2.0736676325847348e-15,False
Hepatic_stellate,Il6ra,1.2649035,1.289202619622917e-07,True
Hepatic_stellate,Stat3,0.24924079,0.068386216065155,False
Hepatic_stellate,Saa1,0.024768027,0.8796481651350669,False
Hepatic_stellate,Saa2,-0.2885167,0.000648866442568,False
Hepatic_stellate,Crp,0.30292195,0.1189859179419361,False
Hepatic_stellate,Hamp,-1.6739777,5.664847984413797e-88,True
Hepatic_stellate,Apob,-0.3093538,6.43384286415409e-06,False
Hepatic_stellate,Mttp,0.07165287,0.846115126237222,False
Hepatic_stellate,Fasn,-0.5508599,0.2795394355545011,False
Hepatic_stellate,Scd1,-1.037152,6.406704036565974e-05,True
Hepatic_stellate,Fads2,-0.13035947,0.7387590754570811,False
Hepatic_stellate,Elovl2,0.42765877,0.1650535799364077,False
Hepatic_stellate,Plin2,-0.28835958,0.2795066874911669,False
Hepatic_stellate,Lpl,0.32749933,0.5277008219202004,False
Hepatic_stellate,Cd36,0.8475166,0.0807322842479867,False
Hepatic_stellate,Mgll,-0.2536908,0.6022656815587916,False
Hepatic_stellate,Apoe,-0.118094504,0.0006268273421088,False
Endothelial,Il6ra,1.0103767,1.473951826690855e-14,True
Endothelial,Stat3,0.20510086,0.028486069833929,False
Endothelial,Saa1,-0.033926483,0.26056044356164,False
Endothelial,Saa2,-0.33801353,3.593574016283593e-15,False
Endothelial,Crp,0.25951254,0.0090275063607273,False
Endothelial,Hamp,-1.62603,1.0496384031305873e-217,True
Endothelial,Apob,-0.05033347,0.3122808986104884,False
Endothelial,Mttp,0.14203411,0.5707887062169905,False
Endothelial,Fasn,-0.64401114,0.0031638190122174,True
Endothelial,Scd1,-0.9821035,2.2191152658805054e-11,True
Endothelial,Fads2,-0.0979997,0.6139423339818639,False
Endothelial,Elovl2,0.6797504,0.0003365870053195,True
Endothelial,Plin2,-0.24141668,0.1904827879903614,False
Endothelial,Cd36,0.15537938,0.210711229075124,False
Endothelial,Mgll,-0.10906178,0.4589695935677339,False
Endothelial,Apoe,-0.124096856,2.5604895144599627e-12,False
